BASIN,CY,HOUR,TECH,TAU,VMAX,TY,INITIALS,lat,lon,MSLP,TECHNUM/MIN,STORMNAME,RAD,RAD1,RAD2,RAD3,RAD4,WINDCODE,POUTER,ROUTER,RMW,GUSTS,EYE,SUBREGION,MAXSEAS,DIR,SPEED,DEPTH,SEAS,SEASCODE,SEAS1,SEAS2,SEAS3,SEAS4,USERDEFINED,userdata
CP,1,1950-08-12 00:00:00,BEST,0,25,TD,HIKI,14.5,-144.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-12 06:00:00,BEST,0,25,TD,HIKI,14.9,-144.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-12 12:00:00,BEST,0,25,TD,HIKI,15.2,-145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-12 18:00:00,BEST,0,25,TD,HIKI,15.5,-145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-13 00:00:00,BEST,0,25,TD,HIKI,15.7,-145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-13 06:00:00,BEST,0,45,TS,HIKI,15.9,-146.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-13 12:00:00,BEST,0,45,TS,HIKI,16.3,-146.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-13 18:00:00,BEST,0,45,TS,HIKI,16.6,-147.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-14 00:00:00,BEST,0,45,TS,HIKI,16.8,-148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-14 06:00:00,BEST,0,45,TS,HIKI,17.5,-149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-14 12:00:00,BEST,0,45,TS,HIKI,18.3,-150.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-14 18:00:00,BEST,0,45,TS,HIKI,19.3,-151.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-15 00:00:00,BEST,0,45,TS,HIKI,20.1,-152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-15 06:00:00,BEST,0,45,TS,HIKI,20.7,-153.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-15 12:00:00,BEST,0,45,TS,HIKI,21.4,-154.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-15 18:00:00,BEST,0,45,TS,HIKI,22.3,-155.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-16 00:00:00,BEST,0,75,HU,HIKI,23.0,-156.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-16 06:00:00,BEST,0,75,HU,HIKI,23.7,-157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-16 12:00:00,BEST,0,75,HU,HIKI,24.3,-158.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-16 18:00:00,BEST,0,75,HU,HIKI,24.7,-159.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-17 00:00:00,BEST,0,75,HU,HIKI,24.7,-160.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-17 06:00:00,BEST,0,75,HU,HIKI,24.5,-161.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-17 12:00:00,BEST,0,75,HU,HIKI,24.0,-162.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-17 18:00:00,BEST,0,75,HU,HIKI,23.6,-163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-18 00:00:00,BEST,0,75,HU,HIKI,23.3,-163.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-18 06:00:00,BEST,0,75,HU,HIKI,22.8,-164.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-18 12:00:00,BEST,0,75,HU,HIKI,22.6,-165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-18 18:00:00,BEST,0,75,HU,HIKI,22.5,-166.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-19 00:00:00,BEST,0,75,HU,HIKI,22.5,-167.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-19 06:00:00,BEST,0,75,HU,HIKI,22.6,-168.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP,1,1950-08-19 12:00:00,BEST,0,75,HU,HIKI,22.7,-169.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
