BASIN,CY,HOUR,TECH,TAU,VMAX,TY,INITIALS,lat,lon,MSLP,TECHNUM/MIN,STORMNAME,RAD,RAD1,RAD2,RAD3,RAD4,WINDCODE,POUTER,ROUTER,RMW,GUSTS,EYE,SUBREGION,MAXSEAS,DIR,SPEED,DEPTH,SEAS,SEASCODE,SEAS1,SEAS2,SEAS3,SEAS4,USERDEFINED,userdata
EP,1,1949-06-11 00:00:00,BEST,0,45,TS,UNNAMED,20.2,-106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-11 06:00:00,BEST,0,45,TS,UNNAMED,20.2,-106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-11 12:00:00,BEST,0,45,TS,UNNAMED,20.2,-106.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-11 18:00:00,BEST,0,45,TS,UNNAMED,20.3,-107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-12 00:00:00,BEST,0,45,TS,UNNAMED,20.4,-108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-12 06:00:00,BEST,0,45,TS,UNNAMED,20.5,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1949-06-12 12:00:00,BEST,0,45,TS,UNNAMED,20.6,-110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-14 12:00:00,BEST,0,75,HU,UNNAMED,14.1,-98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-14 18:00:00,BEST,0,75,HU,UNNAMED,14.2,-98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-15 00:00:00,BEST,0,75,HU,UNNAMED,14.4,-98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-15 06:00:00,BEST,0,75,HU,UNNAMED,14.8,-99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-15 12:00:00,BEST,0,75,HU,UNNAMED,15.2,-99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-15 18:00:00,BEST,0,75,HU,UNNAMED,15.4,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-16 00:00:00,BEST,0,75,HU,UNNAMED,15.6,-100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-16 06:00:00,BEST,0,75,HU,UNNAMED,15.9,-100.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-16 12:00:00,BEST,0,75,HU,UNNAMED,16.1,-100.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-16 18:00:00,BEST,0,75,HU,UNNAMED,16.1,-100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-17 00:00:00,BEST,0,75,HU,UNNAMED,16.2,-101.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-17 06:00:00,BEST,0,75,HU,UNNAMED,16.4,-101.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-17 12:00:00,BEST,0,75,HU,UNNAMED,16.6,-102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-17 18:00:00,BEST,0,75,HU,UNNAMED,16.8,-102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-18 00:00:00,BEST,0,75,HU,UNNAMED,17.0,-103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-18 06:00:00,BEST,0,75,HU,UNNAMED,17.4,-105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-18 12:00:00,BEST,0,75,HU,UNNAMED,18.1,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-18 18:00:00,BEST,0,75,HU,UNNAMED,19.0,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-19 00:00:00,BEST,0,75,HU,UNNAMED,20.0,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-19 06:00:00,BEST,0,75,HU,UNNAMED,20.8,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1950-06-19 12:00:00,BEST,0,75,HU,UNNAMED,21.5,-106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-17 12:00:00,BEST,0,45,TS,UNNAMED,11.0,-104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-17 18:00:00,BEST,0,45,TS,UNNAMED,11.5,-104.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-18 00:00:00,BEST,0,45,TS,UNNAMED,12.1,-104.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-18 06:00:00,BEST,0,45,TS,UNNAMED,12.8,-103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-18 12:00:00,BEST,0,45,TS,UNNAMED,13.6,-103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-18 18:00:00,BEST,0,45,TS,UNNAMED,14.3,-103.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-19 00:00:00,BEST,0,45,TS,UNNAMED,15.0,-103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-19 06:00:00,BEST,0,45,TS,UNNAMED,15.5,-103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-19 12:00:00,BEST,0,45,TS,UNNAMED,15.9,-103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-19 18:00:00,BEST,0,45,TS,UNNAMED,16.4,-102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-20 00:00:00,BEST,0,45,TS,UNNAMED,16.9,-102.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-20 06:00:00,BEST,0,45,TS,UNNAMED,17.4,-102.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-20 12:00:00,BEST,0,45,TS,UNNAMED,17.8,-102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-20 18:00:00,BEST,0,45,TS,UNNAMED,18.1,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1951-05-21 00:00:00,BEST,0,45,TS,UNNAMED,18.3,-101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-29 12:00:00,BEST,0,45,TS,UNNAMED,12.9,-112.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-29 18:00:00,BEST,0,45,TS,UNNAMED,13.5,-112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-30 00:00:00,BEST,0,45,TS,UNNAMED,14.1,-111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-30 06:00:00,BEST,0,45,TS,UNNAMED,14.8,-111.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-30 12:00:00,BEST,0,45,TS,UNNAMED,15.4,-110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-30 18:00:00,BEST,0,45,TS,UNNAMED,16.0,-110.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-31 00:00:00,BEST,0,45,TS,UNNAMED,16.6,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-31 06:00:00,BEST,0,45,TS,UNNAMED,17.1,-108.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1952-05-31 12:00:00,BEST,0,45,TS,UNNAMED,17.5,-108.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-25 00:00:00,BEST,0,45,TS,UNNAMED,19.1,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-25 06:00:00,BEST,0,45,TS,UNNAMED,19.6,-110.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-25 12:00:00,BEST,0,45,TS,UNNAMED,20.3,-110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-25 18:00:00,BEST,0,45,TS,UNNAMED,21.1,-111.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-26 00:00:00,BEST,0,45,TS,UNNAMED,21.9,-111.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-26 06:00:00,BEST,0,45,TS,UNNAMED,22.5,-112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-26 12:00:00,BEST,0,45,TS,UNNAMED,23.1,-112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-26 18:00:00,BEST,0,45,TS,UNNAMED,23.7,-112.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1953-08-27 00:00:00,BEST,0,45,TS,UNNAMED,24.4,-113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-18 00:00:00,BEST,0,45,TS,UNNAMED,13.0,-93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-18 06:00:00,BEST,0,45,TS,UNNAMED,13.5,-94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-18 12:00:00,BEST,0,45,TS,UNNAMED,14.0,-94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-18 18:00:00,BEST,0,45,TS,UNNAMED,14.4,-95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-19 00:00:00,BEST,0,45,TS,UNNAMED,14.7,-95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-19 06:00:00,BEST,0,45,TS,UNNAMED,14.9,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-19 12:00:00,BEST,0,45,TS,UNNAMED,15.1,-96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-19 18:00:00,BEST,0,45,TS,UNNAMED,15.3,-96.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-20 00:00:00,BEST,0,45,TS,UNNAMED,15.5,-97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-20 06:00:00,BEST,0,45,TS,UNNAMED,15.6,-97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-20 12:00:00,BEST,0,45,TS,UNNAMED,15.7,-98.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-20 18:00:00,BEST,0,45,TS,UNNAMED,15.8,-99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-21 00:00:00,BEST,0,45,TS,UNNAMED,16.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-21 06:00:00,BEST,0,45,TS,UNNAMED,16.1,-100.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-21 12:00:00,BEST,0,45,TS,UNNAMED,16.3,-101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-21 18:00:00,BEST,0,45,TS,UNNAMED,16.4,-101.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-22 00:00:00,BEST,0,45,TS,UNNAMED,16.5,-102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-22 06:00:00,BEST,0,45,TS,UNNAMED,16.8,-102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1954-06-22 12:00:00,BEST,0,45,TS,UNNAMED,17.2,-102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-06 00:00:00,BEST,0,75,HU,UNNAMED,14.1,-109.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-06 06:00:00,BEST,0,75,HU,UNNAMED,14.3,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-06 12:00:00,BEST,0,75,HU,UNNAMED,14.7,-109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-06 18:00:00,BEST,0,75,HU,UNNAMED,15.2,-109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-07 00:00:00,BEST,0,75,HU,UNNAMED,15.6,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-07 06:00:00,BEST,0,75,HU,UNNAMED,16.2,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-07 12:00:00,BEST,0,75,HU,UNNAMED,16.7,-109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-07 18:00:00,BEST,0,75,HU,UNNAMED,17.0,-109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-08 00:00:00,BEST,0,75,HU,UNNAMED,17.3,-109.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-08 06:00:00,BEST,0,75,HU,UNNAMED,17.6,-110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1955-06-08 12:00:00,BEST,0,75,HU,UNNAMED,17.8,-111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1956-05-18 12:00:00,BEST,0,75,HU,UNNAMED,13.3,-113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1956-05-18 18:00:00,BEST,0,75,HU,UNNAMED,13.7,-115.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1956-05-19 00:00:00,BEST,0,75,HU,UNNAMED,13.9,-118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1956-05-19 06:00:00,BEST,0,75,HU,UNNAMED,14.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1956-05-19 12:00:00,BEST,0,75,HU,UNNAMED,14.0,-122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-15 00:00:00,BEST,0,75,HU,KANOA,11.9,-108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-15 06:00:00,BEST,0,75,HU,KANOA,11.8,-109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-15 12:00:00,BEST,0,75,HU,KANOA,11.8,-110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-15 18:00:00,BEST,0,75,HU,KANOA,11.8,-111.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-16 00:00:00,BEST,0,75,HU,KANOA,11.7,-112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-16 06:00:00,BEST,0,75,HU,KANOA,11.6,-113.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-16 12:00:00,BEST,0,75,HU,KANOA,11.5,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-16 18:00:00,BEST,0,75,HU,KANOA,11.4,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-17 00:00:00,BEST,0,75,HU,KANOA,11.4,-116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-17 06:00:00,BEST,0,75,HU,KANOA,11.5,-116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-17 12:00:00,BEST,0,75,HU,KANOA,11.6,-117.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-17 18:00:00,BEST,0,75,HU,KANOA,11.7,-118.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-18 00:00:00,BEST,0,75,HU,KANOA,11.9,-119.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-18 06:00:00,BEST,0,75,HU,KANOA,12.0,-120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-18 12:00:00,BEST,0,75,HU,KANOA,12.2,-120.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-18 18:00:00,BEST,0,75,HU,KANOA,12.5,-121.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-19 00:00:00,BEST,0,75,HU,KANOA,12.9,-122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-19 06:00:00,BEST,0,75,HU,KANOA,13.1,-123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-19 12:00:00,BEST,0,75,HU,KANOA,13.4,-124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-19 18:00:00,BEST,0,75,HU,KANOA,13.7,-125.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-20 00:00:00,BEST,0,75,HU,KANOA,14.1,-126.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-20 06:00:00,BEST,0,75,HU,KANOA,14.5,-127.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-20 12:00:00,BEST,0,75,HU,KANOA,14.9,-128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-20 18:00:00,BEST,0,75,HU,KANOA,15.3,-128.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-21 00:00:00,BEST,0,75,HU,KANOA,15.7,-129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-21 06:00:00,BEST,0,75,HU,KANOA,16.1,-131.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-21 12:00:00,BEST,0,75,HU,KANOA,16.4,-132.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-21 18:00:00,BEST,0,75,HU,KANOA,16.8,-133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-22 00:00:00,BEST,0,75,HU,KANOA,17.1,-134.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-22 06:00:00,BEST,0,75,HU,KANOA,17.3,-135.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-22 12:00:00,BEST,0,75,HU,KANOA,17.5,-137.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-22 18:00:00,BEST,0,75,HU,KANOA,17.7,-138.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-23 00:00:00,BEST,0,75,HU,KANOA,17.8,-139.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-23 06:00:00,BEST,0,75,HU,KANOA,17.9,-140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-23 12:00:00,BEST,0,75,HU,KANOA,18.0,-141.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-23 18:00:00,BEST,0,75,HU,KANOA,18.3,-142.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-24 00:00:00,BEST,0,75,HU,KANOA,18.6,-144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,1,1957-07-24 06:00:00,BEST,0,75,HU,KANOA,18.7,-144.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
